No	Time[sec]	VOLT[V]	CURR[A]
180	40	0.15	2.59618e-006
181	40	0.15	2.54389e-006
182	40	0.15	2.56335e-006
183	41	0.15	2.6026e-006
184	41	0.15	2.61305e-006
185	41	0.15	2.58895e-006
186	41	0.15	2.58139e-006
187	41	0.15	2.56803e-006
188	42	0.15	2.53512e-006
189	42	0.15	2.5311e-006
190	42	0.15	2.586e-006
191	42	0.15	2.54972e-006
192	43	0.15	2.57982e-006
193	43	0.15	2.58068e-006
194	43	0.15	2.59264e-006
195	43	0.15	2.58862e-006
196	43	0.15	2.58857e-006
197	44	0.15	2.60962e-006
198	44	0.15	2.57042e-006
199	44	0.15	2.65329e-006
200	44	0.2	3.71579e-006
201	44	0.2	3.78674e-006
202	45	0.2	3.69198e-006
203	45	0.2	3.66786e-006
204	45	0.2	3.57264e-006
205	45	0.2	3.59583e-006
206	45	0.2	3.61563e-006
207	46	0.2	3.58844e-006
208	46	0.2	3.55787e-006
209	46	0.2	3.5879e-006
210	46	0.2	3.57217e-006
211	46	0.2	3.57724e-006
212	47	0.2	3.64116e-006
213	47	0.2	3.68168e-006
214	47	0.2	3.6323e-006
215	47	0.2	3.60695e-006
216	47	0.2	3.64899e-006
217	48	0.2	3.65979e-006
218	48	0.2	3.66463e-006
219	48	0.2	3.63238e-006
220	48	0.2	3.65742e-006
221	49	0.2	3.65075e-006
222	49	0.2	3.66192e-006
223	49	0.2	3.68239e-006
224	49	0.2	3.62642e-006
225	49	0.2	3.55585e-006
226	50	0.2	3.48329e-006
227	50	0.2	3.47493e-006
228	50	0.2	3.50482e-006
229	50	0.2	3.61594e-006
230	50	0.2	3.60414e-006
231	51	0.2	3.60395e-006
232	51	0.2	3.61928e-006
233	51	0.2	3.65392e-006
234	51	0.2	3.64564e-006
235	51	0.2	3.60602e-006
236	52	0.2	3.66696e-006
237	52	0.2	3.71709e-006
238	52	0.2	3.68488e-006
239	52	0.2	3.67381e-006
240	52	0.2	3.63823e-006
241	53	0.2	3.60983e-006
242	53	0.2	3.64139e-006
243	53	0.2	3.67301e-006
244	53	0.2	3.63036e-006
245	53	0.2	3.52869e-006
246	54	0.2	3.53172e-006
247	54	0.2	3.56563e-006
248	54	0.2	3.53924e-006
249	54	0.2	3.54935e-006
250	55	0.25	4.69393e-006
251	55	0.25	4.61949e-006
252	55	0.25	4.70255e-006
253	55	0.25	4.72118e-006
254	55	0.25	4.69052e-006
255	56	0.25	4.73599e-006
256	56	0.25	4.60704e-006
257	56	0.25	4.67675e-006
258	56	0.25	4.70054e-006
259	56	0.25	4.60211e-006
260	57	0.25	4.62648e-006
261	57	0.25	4.6123e-006
262	57	0.25	4.651e-006
263	57	0.25	4.62009e-006
264	57	0.25	4.57051e-006
265	58	0.25	4.61141e-006
266	58	0.25	4.62978e-006
267	58	0.25	4.65801e-006
268	58	0.25	4.55082e-006
269	58	0.25	4.69715e-006
270	59	0.25	4.60269e-006
271	59	0.25	4.56341e-006
272	59	0.25	4.50683e-006
273	59	0.25	4.54121e-006
274	59	0.25	4.47211e-006
275	60	0.25	4.41806e-006
276	60	0.25	4.42062e-006
277	60	0.25	4.40635e-006
278	60	0.25	4.42979e-006
279	61	0.25	4.4287e-006
280	61	0.25	4.39087e-006
281	61	0.25	4.33796e-006
282	61	0.25	4.33125e-006
283	61	0.25	4.32669e-006
284	62	0.25	4.29443e-006
285	62	0.25	4.33267e-006
286	62	0.25	4.3186e-006
287	62	0.25	4.33176e-006
288	62	0.25	4.37283e-006
289	63	0.25	4.24483e-006
290	63	0.25	4.49303e-006
291	63	0.25	4.45863e-006
292	63	0.25	4.56363e-006
293	63	0.25	4.30607e-006
294	64	0.25	4.32526e-006
295	64	0.25	4.33242e-006
296	64	0.25	4.3612e-006
297	64	0.25	4.36704e-006
298	64	0.25	4.34082e-006
299	65	0.25	4.3018e-006
300	65	0.3	5.38153e-006
301	65	0.3	5.40521e-006
302	65	0.3	5.40643e-006
303	65	0.3	5.5784e-006
304	66	0.3	5.5438e-006
305	66	0.3	5.56847e-006
306	66	0.3	5.41672e-006
307	66	0.3	5.39048e-006
308	66	0.3	5.39189e-006
309	67	0.3	5.26529e-006
310	67	0.3	5.49566e-006
311	67	0.3	5.59184e-006
312	67	0.3	5.43134e-006
313	68	0.3	5.6125e-006
314	68	0.3	5.79135e-006
315	68	0.3	5.72688e-006
316	68	0.3	5.69176e-006
317	68	0.3	5.80587e-006
318	69	0.3	5.54942e-006
319	69	0.3	5.75269e-006
320	69	0.3	5.81265e-006
321	69	0.3	5.78155e-006
322	69	0.3	5.63213e-006
323	70	0.3	5.71263e-006
324	70	0.3	5.49134e-006
325	70	0.3	5.71236e-006
326	70	0.3	5.51086e-006
327	70	0.3	5.50206e-006
328	71	0.3	5.48653e-006
329	71	0.3	5.66956e-006
330	71	0.3	6.02188e-006
331	71	0.3	6.64746e-006
332	71	0.3	6.2254e-006
333	72	0.3	6.58407e-006
334	72	0.3	5.68665e-006
335	72	0.3	6.28557e-006
336	72	0.3	6.35616e-006
