No	Time[sec]	VOLT[V]	CURR[A]
1	1	0	5.84597e-006
2	1	0	5.91637e-006
3	1	0	5.89249e-006
4	1	0	5.92169e-006
5	1	0	5.90196e-006
6	2	0	5.83951e-006
7	2	0	5.83275e-006
8	2	0	5.83947e-006
9	2	0	5.85214e-006
10	3	0	5.8817e-006
11	3	0	5.85454e-006
12	3	0	5.83396e-006
13	3	0	5.81825e-006
14	3	0	5.79746e-006
15	4	0	5.72021e-006
16	4	0	5.69792e-006
17	4	0	5.68155e-006
18	4	0	5.70234e-006
19	4	0	5.68204e-006
20	5	0	5.65817e-006
21	5	0	5.72161e-006
22	5	0	5.77515e-006
23	5	0	5.75791e-006
24	5	0	5.83255e-006
25	6	0	5.77563e-006
26	6	0	5.75084e-006
27	6	0	5.76719e-006
28	6	0	5.77063e-006
29	6	0	5.77662e-006
30	7	0	5.7591e-006
31	7	0	5.7294e-006
32	7	0	5.74307e-006
33	7	0	5.64386e-006
34	7	0	5.68327e-006
35	8	0	5.68317e-006
36	8	0	5.77265e-006
37	8	0	5.78303e-006
38	8	0	5.81823e-006
39	8	0	5.7747e-006
40	9	0	5.6919e-006
41	9	0	5.69202e-006
42	9	0	5.80109e-006
43	9	0	5.80023e-006
44	10	0	5.78701e-006
45	10	0	5.74074e-006
46	10	0	5.73374e-006
47	10	0	5.72313e-006
48	10	0	5.70112e-006
49	11	0	5.74211e-006
50	11	0.05	2.91624e-005
51	11	0.05	2.9254e-005
52	11	0.05	2.92828e-005
53	11	0.05	2.93007e-005
54	12	0.05	2.93585e-005
55	12	0.05	2.94199e-005
56	12	0.05	2.93787e-005
57	12	0.05	2.93667e-005
58	12	0.05	2.9383e-005
59	13	0.05	2.93939e-005
60	13	0.05	2.94458e-005
61	13	0.05	2.9406e-005
62	13	0.05	2.94241e-005
63	13	0.05	2.94132e-005
64	14	0.05	2.94625e-005
65	14	0.05	2.94539e-005
66	14	0.05	2.94607e-005
67	14	0.05	2.94421e-005
68	15	0.05	2.94726e-005
69	15	0.05	2.94362e-005
70	15	0.05	2.93758e-005
71	15	0.05	2.93865e-005
72	15	0.05	2.93541e-005
73	16	0.05	2.94168e-005
74	16	0.05	2.93473e-005
75	16	0.05	2.92896e-005
76	16	0.05	2.92689e-005
77	16	0.05	2.92247e-005
78	17	0.05	2.92136e-005
79	17	0.05	2.91337e-005
80	17	0.05	2.91182e-005
81	17	0.05	2.90595e-005
82	17	0.05	2.90241e-005
83	18	0.05	2.89795e-005
84	18	0.05	2.89371e-005
85	18	0.05	2.88166e-005
86	18	0.05	2.86928e-005
87	18	0.05	2.85578e-005
88	19	0.05	2.84335e-005
89	19	0.05	2.82049e-005
90	19	0.05	2.80413e-005
91	19	0.05	2.79586e-005
92	19	0.05	2.78826e-005
93	20	0.05	2.77624e-005
94	20	0.05	2.77279e-005
95	20	0.05	2.75618e-005
96	20	0.05	2.74946e-005
97	21	0.05	2.73332e-005
98	21	0.05	2.71503e-005
99	21	0.05	2.69839e-005
100	21	0.1	4.87587e-005
101	21	0.1	4.82072e-005
102	22	0.1	4.7706e-005
103	22	0.1	4.70035e-005
