No	Time[sec]	VOLT[V]	CURR[A]
173	36	0.3	9.4227e-009
174	36	0.3	7.78164e-009
175	36	0.35	2.32262e-009
176	37	0.35	2.18744e-009
177	37	0.35	1.55602e-009
178	37	0.35	1.10618e-009
179	37	0.35	7.27774e-010
180	37	0.35	3.3857e-010
181	38	0.35	9.23552e-011
182	38	0.35	-7.70765e-012
183	38	0.35	-4.36342e-011
184	38	0.35	-4.91159e-011
185	39	0.35	-5.2405e-011
186	39	0.35	-5.13086e-011
187	39	0.35	-5.21942e-011
188	39	0.35	-5.61579e-011
189	39	0.35	-5.84349e-011
190	40	0.35	-4.37185e-011
191	40	0.35	-3.72669e-011
192	40	0.35	-2.91286e-011
193	40	0.35	-2.4195e-011
194	40	0.35	8.88178e-015
195	41	0.35	9.94393e-011
196	41	0.35	9.89755e-011
197	41	0.35	5.78624e-011
198	41	0.35	1.95328e-010
199	41	0.35	5.89465e-010
200	42	0.4	1.53945e-009
201	42	0.4	2.02041e-009
202	42	0.4	1.83981e-009
203	42	0.4	1.55813e-009
204	42	0.4	1.48198e-009
205	43	0.4	1.11989e-009
206	43	0.4	8.87925e-010
207	43	0.4	8.23915e-010
208	43	0.4	5.96718e-010
209	43	0.4	6.32813e-010
210	44	0.4	6.14976e-010
211	44	0.4	5.28112e-010
212	44	0.4	3.9967e-010
213	44	0.4	3.48226e-010
214	45	0.4	3.62395e-010
215	45	0.4	3.33468e-010
216	45	0.4	3.33257e-010
217	45	0.4	3.06734e-010
218	45	0.4	2.55796e-010
219	46	0.4	2.71735e-010
220	46	0.4	3.37474e-010
221	46	0.4	3.14324e-010
222	46	0.4	2.74771e-010
223	46	0.4	3.1833e-010
224	47	0.4	2.53814e-010
225	47	0.45	4.62921e-010
226	47	0.45	7.09895e-010
227	47	0.45	4.25392e-010
228	47	0.45	4.46307e-010
229	48	0.45	4.71271e-010
230	48	0.45	4.60054e-010
231	48	0.45	2.66085e-010
232	48	0.45	1.54847e-010
233	48	0.45	1.8213e-010
234	49	0.45	1.84196e-010
235	49	0.45	2.03846e-010
236	49	0.45	1.73063e-010
237	49	0.45	1.85461e-010
238	49	0.45	2.21008e-010
239	50	0.45	2.46013e-010
240	50	0.45	2.77807e-010
241	50	0.45	3.06523e-010
242	50	0.45	2.98511e-010
243	50	0.45	3.41944e-010
244	51	0.45	3.55226e-010
245	51	0.45	3.87316e-010
246	51	0.45	3.60328e-010
247	51	0.45	3.57208e-010
248	52	0.45	4.08863e-010
249	52	0.45	4.62204e-010
250	52	0.5	6.59378e-010
251	52	0.5	6.30325e-010
252	52	0.5	7.14281e-010
253	53	0.5	7.72429e-010
254	53	0.5	8.78438e-010
255	53	0.5	8.30114e-010
256	53	0.5	8.46559e-010
257	53	0.5	7.69224e-010
258	54	0.5	3.48226e-010
259	54	0.5	2.33363e-010
260	54	0.5	2.4226e-010
261	54	0.5	2.15104e-010
262	54	0.5	2.51537e-010
263	55	0.5	2.33573e-010
264	55	0.5	2.71988e-010
265	55	0.5	2.10339e-010
266	55	0.5	2.07683e-010
267	55	0.5	1.81919e-010
268	56	0.5	1.85714e-010
269	56	0.5	1.74286e-010
270	56	0.5	1.45781e-010
271	56	0.5	1.61256e-010
272	56	0.5	1.49323e-010
273	57	0.5	1.30348e-010
274	57	0.5	1.02602e-010
275	57	0.55	1.3798e-010
276	57	0.55	1.28282e-010
277	57	0.55	1.26595e-010
278	58	0.55	1.40637e-010
279	58	0.55	1.48775e-010
280	58	0.55	1.7416e-010
281	58	0.55	1.57757e-010
282	58	0.55	1.84786e-010
283	59	0.55	1.72009e-010
284	59	0.55	1.85967e-010
285	59	0.55	1.8799e-010
286	59	0.55	2.08737e-010
287	60	0.55	2.32941e-010
